time_display,time_raw,src_host,src_port,dst_host,dst_port,sniffed,target_domain,ip,network,outbound,dialer,policy,dscp,mac,pid,pname,app,raw_line
2026-01-22 00:49:37,Jan 21 16:49:37,192.168.100.110,32880,91.108.56.134,80,91.108.56.134,91.108.56.134,91.108.56.134:80,tcp4,direct,direct,fixed,0,94:83:c4:ab:9e:b4,0,,Other,"time=""Jan 21 16:49:37"" level=info msg=""192.168.100.110:32880 <-> 91.108.56.134:80"" dialer=direct dscp=0 ip=""91.108.56.134:80"" mac=""94:83:c4:ab:9e:b4"" network=tcp4 outbound=direct pid=0 pname= policy=fixed sniffed=91.108.56.134"
2026-01-22 00:49:37,Jan 21 16:49:37,192.168.100.110,45086,149.154.175.59,80,149.154.175.59,149.154.175.59,149.154.175.59:80,tcp4,direct,direct,fixed,0,94:83:c4:ab:9e:b4,0,,Other,"time=""Jan 21 16:49:37"" level=info msg=""192.168.100.110:45086 <-> 149.154.175.59:80"" dialer=direct dscp=0 ip=""149.154.175.59:80"" mac=""94:83:c4:ab:9e:b4"" network=tcp4 outbound=direct pid=0 pname= policy=fixed sniffed=149.154.175.59"
2026-01-22 00:49:37,Jan 21 16:49:37,192.168.100.110,45212,142.250.197.238,443,play.google.com,play.google.com,142.250.197.238:443,tcp4,direct,direct,fixed,0,94:83:c4:ab:9e:b4,0,,Other,"time=""Jan 21 16:49:37"" level=info msg=""192.168.100.110:45212 <-> 142.250.197.238:443"" dialer=direct dscp=0 ip=""142.250.197.238:443"" mac=""94:83:c4:ab:9e:b4"" network=tcp4 outbound=direct pid=0 pname= policy=fixed sniffed=play.google.com"
2026-01-22 00:49:37,Jan 21 16:49:37,192.168.100.110,45648,91.108.56.115,80,91.108.56.115,91.108.56.115,91.108.56.115:80,tcp4,direct,direct,fixed,0,94:83:c4:ab:9e:b4,0,,Other,"time=""Jan 21 16:49:37"" level=info msg=""192.168.100.110:45648 <-> 91.108.56.115:80"" dialer=direct dscp=0 ip=""91.108.56.115:80"" mac=""94:83:c4:ab:9e:b4"" network=tcp4 outbound=direct pid=0 pname= policy=fixed sniffed=91.108.56.115"
2026-01-22 00:49:37,Jan 21 16:49:37,192.168.100.110,59852,149.154.175.53,80,149.154.175.53,149.154.175.53,149.154.175.53:80,tcp4,direct,direct,fixed,0,94:83:c4:ab:9e:b4,0,,Other,"time=""Jan 21 16:49:37"" level=info msg=""192.168.100.110:59852 <-> 149.154.175.53:80"" dialer=direct dscp=0 ip=""149.154.175.53:80"" mac=""94:83:c4:ab:9e:b4"" network=tcp4 outbound=direct pid=0 pname= policy=fixed sniffed=149.154.175.53"
2026-01-22 00:49:39,Jan 21 16:49:39,192.168.100.110,42026,31.216.144.5,443,mega.nz,mega.nz,31.216.144.5:443,tcp4,direct,direct,fixed,0,94:83:c4:ab:9e:b4,0,,Other,"time=""Jan 21 16:49:39"" level=info msg=""192.168.100.110:42026 <-> 31.216.144.5:443"" dialer=direct dscp=0 ip=""31.216.144.5:443"" mac=""94:83:c4:ab:9e:b4"" network=tcp4 outbound=direct pid=0 pname= policy=fixed sniffed=mega.nz"
2026-01-22 00:49:39,Jan 21 16:49:39,192.168.100.110,58436,151.101.3.52,443,fastly.mirror.pkgbuild.com,fastly.mirror.pkgbuild.com,151.101.3.52:443,tcp4,direct,direct,fixed,0,94:83:c4:ab:9e:b4,0,,Other,"time=""Jan 21 16:49:39"" level=info msg=""192.168.100.110:58436 <-> 151.101.3.52:443"" dialer=direct dscp=0 ip=""151.101.3.52:443"" mac=""94:83:c4:ab:9e:b4"" network=tcp4 outbound=direct pid=0 pname= policy=fixed sniffed=fastly.mirror.pkgbuild.com"
2026-01-22 00:49:39,Jan 21 16:49:39,192.168.100.110,58440,151.101.3.52,443,fastly.mirror.pkgbuild.com,fastly.mirror.pkgbuild.com,151.101.3.52:443,tcp4,direct,direct,fixed,0,94:83:c4:ab:9e:b4,0,,Other,"time=""Jan 21 16:49:39"" level=info msg=""192.168.100.110:58440 <-> 151.101.3.52:443"" dialer=direct dscp=0 ip=""151.101.3.52:443"" mac=""94:83:c4:ab:9e:b4"" network=tcp4 outbound=direct pid=0 pname= policy=fixed sniffed=fastly.mirror.pkgbuild.com"
2026-01-22 00:49:39,Jan 21 16:49:39,192.168.100.110,58442,151.101.3.52,443,fastly.mirror.pkgbuild.com,fastly.mirror.pkgbuild.com,151.101.3.52:443,tcp4,direct,direct,fixed,0,94:83:c4:ab:9e:b4,0,,Other,"time=""Jan 21 16:49:39"" level=info msg=""192.168.100.110:58442 <-> 151.101.3.52:443"" dialer=direct dscp=0 ip=""151.101.3.52:443"" mac=""94:83:c4:ab:9e:b4"" network=tcp4 outbound=direct pid=0 pname= policy=fixed sniffed=fastly.mirror.pkgbuild.com"
2026-01-22 00:49:40,Jan 21 16:49:40,192.168.100.110,37756,71.18.222.1,443,bsync31-normal-alisg.tiktokv.com,bsync31-normal-alisg.tiktokv.com,71.18.222.1:443,tcp4,direct,direct,fixed,0,94:83:c4:ab:9e:b4,0,,TikTok,"time=""Jan 21 16:49:40"" level=info msg=""192.168.100.110:37756 <-> 71.18.222.1:443"" dialer=direct dscp=0 ip=""71.18.222.1:443"" mac=""94:83:c4:ab:9e:b4"" network=tcp4 outbound=direct pid=0 pname= policy=fixed sniffed=bsync31-normal-alisg.tiktokv.com"
